sepal_length,sepal_width,petal_length,petal_width,class,sepal_length_ma_5
4.1,0.525423729,1.0,0.375,versicolor,4.26
4.5,0.593220339,1.5,0.583333333,versicolor,4.22
3.9,0.491525424,1.1,0.416666667,versicolor,4.28
4.8,0.644067797,1.8,0.708333333,versicolor,4.36
4.0,0.508474576,1.3,0.5,versicolor,4.26
4.9,0.661016949,1.5,0.583333333,versicolor,4.42
4.7,0.627118644,1.2,0.458333333,versicolor,4.46
4.3,0.559322034,1.3,0.5,versicolor,4.54
4.4,0.576271186,1.4,0.541666667,versicolor,4.46
4.8,0.644067797,1.4,0.541666667,versicolor,4.62
5.0,0.677966102,1.7,0.666666667,versicolor,4.64
4.5,0.593220339,1.5,0.583333333,versicolor,4.6
3.5,0.423728814,1.0,0.375,versicolor,4.44
3.8,0.474576271,1.1,0.416666667,versicolor,4.32
3.7,0.457627119,1.0,0.375,versicolor,4.1
3.9,0.491525424,1.2,0.458333333,versicolor,3.88
5.1,0.694915254,1.6,0.625,versicolor,4.0
6.0,0.847457627,2.5,0.9999,virginica,4.5
5.1,0.694915254,1.9,0.75,virginica,4.76
5.9,0.830508475,2.1,0.833333333,virginica,5.2
5.6,0.779661017,1.8,0.708333333,virginica,5.54
5.8,0.813559322,2.2,0.875,virginica,5.68
6.6,0.949152542,2.1,0.833333333,virginica,5.8
4.5,0.593220339,1.7,0.666666667,virginica,5.68
6.3,0.898305085,1.8,0.708333333,virginica,5.76
5.8,0.813559322,1.8,0.708333333,virginica,5.8
6.1,0.86440678,2.5,0.9999,virginica,5.86
5.1,0.694915254,2.0,0.791666667,virginica,5.56
5.3,0.728813559,1.9,0.75,virginica,5.72
5.5,0.762711864,2.1,0.833333333,virginica,5.56
5.0,0.677966102,2.0,0.791666667,virginica,5.4
5.1,0.694915254,2.4,0.958333333,virginica,5.2
5.3,0.728813559,2.3,0.916666667,virginica,5.24
5.5,0.762711864,1.8,0.708333333,virginica,5.28
6.7,0.966101695,2.2,0.875,virginica,5.52
6.9,0.9999,2.3,0.916666667,virginica,5.9
5.0,0.677966102,1.5,0.583333333,virginica,5.88
5.7,0.796610169,2.3,0.916666667,virginica,5.96
4.9,0.661016949,2.0,0.791666667,virginica,5.84
6.7,0.966101695,2.0,0.791666667,virginica,5.84
4.9,0.661016949,1.8,0.708333333,virginica,5.44
5.7,0.796610169,2.1,0.833333333,virginica,5.58
6.0,0.847457627,1.8,0.708333333,virginica,5.64
4.8,0.644067797,1.8,0.708333333,virginica,5.62
4.9,0.661016949,1.8,0.708333333,virginica,5.26
5.6,0.779661017,2.1,0.833333333,virginica,5.4
5.8,0.813559322,1.6,0.625,virginica,5.42
6.1,0.86440678,1.9,0.75,virginica,5.44
6.4,0.915254237,2.0,0.791666667,virginica,5.76
5.6,0.779661017,2.2,0.875,virginica,5.9
5.1,0.694915254,1.5,0.583333333,virginica,5.8
